website_name,city_pt,country_pt,city_en,country_en,city_es,country_es,city_loc,country_loc,city_loc2,country_loc2,flag,lula_votos_2o,lula_pct_2o,bolsonaro_votos_2o,bolsonaro_pct_2o,votos_validos,votos_total,anulados,anulados_sub_judice,nulos,nulos_pct,em_branco,em_branco_pct,anulados_e_apurados,anulados_e_apurados_pct,concorrentes_pct
Trípoli,Trípoli,Líbia,Tripoli,Libya,Trípoli,Libia,طرابلس,ليبيا,,,🇱🇾,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Tunis,Tunis,Tunes,Tunis,Tunisia,Túnez,Túnez,تونس,تونس,Tunis,Tunisie,🇹🇳,8,66.67,4,33.33,12,12,0,0,0,0.00,0,0.00,0,0.00,33.33
Tóquio,Tóquio,Japâo,Tokyo,Japan,Tokio,Japón,東京,日本,,,🇯🇵,2454,19.67,10020,80.33,12474,13493,0,0,401,2.97,618,4.58,0,0.00,80.33
Uagadugu,Uagadugu,Burquina Fasso,Ouagadougou,Burkina Faso,Uagadugú,Burkina Faso,Ouagadougou,Burkina Faso,,,🇧🇫,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Vancouver,Vancouver,Canadá,Vancouver,Canada,Vancouver,Canadá,Vancouver,Canada,,,🇨🇦,3442,63.48,1980,36.52,5422,5720,0,0,181,3.16,117,2.05,0,0.00,36.52
Varsóvia,Varsóvia,Polônia,Warsaw,Poland,Varsovia,Polonia,Warszawa,Polska,,,🇵🇱,212,75.71,68,24.29,280,288,0,0,5,1.74,3,1.04,0,0.00,24.29
Vaticano,Vaticano,Vaticano,Vatican,Vatican,Vaticano,Vaticano,Vaticanae,Vaticanae,,,🇻🇦,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Viena,Viena,Áustria,Vienna,Austria,Viena,Austria,Wien,Österreich,,,🇦🇹,960,71.70,379,28.30,1339,1407,0,0,35,2.49,33,2.34,0,0.00,28.30
Washington,Washington,Estados Unidos,Washington,United States,Washington,Estados Unidos,Washington,United States,,,🇺🇸,2552,50.57,2494,49.43,5046,5228,0,0,84,1.61,98,1.87,0,0.00,49.43
Wellington,Wellington,Nova Zelândia,Wellington,New Zealand,Wellington,Nueva Zelanda,Wellington,New Zealand,Te Whanga-nui-a-Tara,Aotearoa,🇳🇿,389,70.34,164,29.66,553,569,0,0,9,1.58,7,1.23,0,0.00,29.66
Windhoek,Vinduque,Namíbia,Windhoek,Namibia,Windhoek,Namibia,Windhoek,Namibië,Windhoek,Namibia,🇳🇦,4,11.43,31,88.57,35,36,0,0,1,2.78,0,0.00,0,0.00,88.57
Xangai,Xangai,China,Shanghai,China,Shanghái,China,上海 ,中国,上海,中國,🇨🇳,125,66.84,62,33.16,187,194,0,0,4,2.06,3,1.55,0,0.00,33.16
Yangon,Yangon,Mianmar,Yangon,Myanmar,Rangún,Myanmar,ရန်ကုန်,မြန်မာနိုင်ငံ,,,🇲🇲,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Zagreb,Zagreb,Croácia,Zagreb,Croatia,Zagreb,Croacia,Zagreb,Hrvatska,,,🇭🇷,26,63.41,15,36.59,41,42,0,0,1,2.38,0,0.00,0,0.00,36.59
Zurique,Zurique,Suiça,Zurich,Switzerland,Zúrich,Suiza,Zürich,Schweiz,Zurich,Suisse,🇨🇭,3189,53.59,2762,46.41,5951,6225,0,0,149,2.39,125,2.01,0,0.00,46.41
