website_name,city_pt,country_pt,city_en,country_en,city_es,country_es,city_loc,country_loc,city_loc2,country_loc2,flag,lula_votos_2o,lula_pct_2o,bolsonaro_votos_2o,bolsonaro_pct_2o,votos_validos,votos_total,anulados,anulados_sub_judice,nulos,nulos_pct,em_branco,em_branco_pct,anulados_e_apurados,anulados_e_apurados_pct,concorrentes_pct
Kuala Lumpur,Kuala Lumpur,Malásia,Kuala Lumpur,Malaysia,Kuala Lumpur,Malasia,Kuala Lumpur,Malaysia,كوالا لمڤور,مليسيا,🇲🇾,32,55.17,26,44.83,58,58,0,0,0,0.00,0,0.00,0,0.00,44.83
La Paz,La Paz,Bolívia,La Paz,Bolivia,La Paz,Bolivia,La Paz,Bolivia,Chuqiyapu,Buliwya,🇧🇴,74,37.00,126,63.00,200,213,0,0,8,3.76,5,2.34,0,0.00,63.00
Lagos,Lagos,Nigéria,Lagos,Nigeria,Lagos,Nigeria,Lagos,Nigeria,Èkó,Nàìjíríà,🇳🇬,21,84.00,4,16.00,25,26,0,0,1,3.85,0,0.00,0,0.00,16.00
Libreville,Libreville,Gabão,Libreville,Gabon,Libreville,Gabón,Libreville,Gabon,,,🇬🇦,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Lilongue,Lilongue,Maláui,Lilongwe,Malawi,Lilongüe,Malaui,Lilongwe,Malawi,Lilongwe,Malaŵi,🇲🇼,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Lima,Lima,Peru,Lima,Peru,Lima,Perú,Lima,Perú,,,🇵🇪,314,42.20,430,57.80,744,771,0,0,10,1.30,17,2.20,0,0.00,57.80
Lisboa,Lisboa,Portugal,Lisbon,Portugal,Lisboa,Portugal,Lisboa,Portugal,,,🇵🇹,12872,64.50,7085,35.50,19957,20505,0,0,286,1.39,262,1.28,0,0.00,35.50
Liubliana,Liubliana,Eslovênia,Ljubljana,Slovenia,Liubliana,Eslovenia,Ljubljana,Slovenija,,,🇸🇮,52,71.23,21,28.77,73,79,0,0,4,5.06,2,2.53,0,0.00,28.77
Lomé,Lomé,Togo,Lomé,Togo,Lomé,Togo,Lomé,Togo,,,🇹🇬,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Londres,Londres,Reino Unido,London,United Kingdon,Londres,Reino Unido,London,United Kingdon,,,🇬🇧,9064,60.15,6004,39.85,15068,15459,0,0,212,1.37,179,1.16,0,0.00,39.85
Los Angeles,Los Angeles,Estados Unidos,Los Angeles,United States,Los Ángeles,Estados Unidos,Los Angeles,United States,,,🇺🇸,1955,49.26,2014,50.74,3969,4133,0,0,88,2.13,76,1.84,0,0.00,50.74
Luanda,Luanda,Angola,Luanda,Angola,Luanda,Angola,Luanda,Angola,,,🇦🇴,124,55.61,99,44.39,223,230,0,0,5,2.17,2,0.87,0,0.00,44.39
Lusaca,Lusaca,Zâmbia,Lusaka,Zambia,Lusaka,Zambia,Lusaka,Zambia,,,🇿🇲,13,92.86,1,7.14,14,14,0,0,0,0.00,0,0.00,0,0.00,7.14
Madri,Madri,Espanha,Madrid,Spain,Madrid,España,Madrid,España,,,🇪🇸,3078,56.09,2410,43.91,5488,5769,0,0,160,2.77,121,2.10,0,0.00,43.91
Malabo,Malabo,Guiné Equatorial,Malabo,Equatorial Guinea,Malabo,Guinea Ecuatorial,Malabo,Guinea Ecuatorial,Malabo,Guiné Equatorial,🇬🇶,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Manila,Manila,Filipinas,Manila,Philippines,Manila,Filipinas,Maynila,Pilipinas,,,🇵🇭,22,39.29,34,60.71,56,56,0,0,0,0.00,0,0.00,0,0.00,60.71
Manágua,Manágua,Nicarágua,Managua,Nicaragua,Managua,Nicaragua,Managua,Nicaragua,,,🇳🇮,34,47.22,38,52.78,72,77,0,0,4,5.19,1,1.30,0,0.00,52.78
Maputo,Maputo,Moçambique,Maputo,Mozambique,Maputo,Mozambique,Maputo,Moçambique,,,🇲🇿,140,45.75,166,54.25,306,326,0,0,13,3.99,7,2.14,0,0.00,54.25
Mascate,Mascate,Omã,Muscat,Oman,Mascate,Omán,مسقط,سلطنة عمان,,,🇴🇲,14,30.43,32,69.57,46,46,0,0,0,0.00,0,0.00,0,0.00,69.57
Mendoza,Mendoza,Argentina,Mendoza,Argentina,Mendoza,Argentina,Mendoza,Argentina,,,🇦🇷,56,38.89,88,61.11,144,150,0,0,4,2.67,2,1.33,0,0.00,61.11
Mexico,México,México,Mexico,Mexico,México,México,México,México,,,🇲🇽,633,47.63,696,52.37,1329,1385,0,0,38,2.74,18,1.30,0,0.00,52.37
Miami,Miami,Estados Unidos,Miami,United States,Miami,Estados Unidos,Miami,United States,,,🇺🇸,3058,18.82,13187,81.18,16245,16732,0,0,259,1.55,228,1.36,0,0.00,81.18
Milão,Milão,Itália,Milan,Italy,Milán,Italia,Milano,Italia,,,🇮🇹,3371,52.55,3044,47.45,6415,6639,0,0,113,1.70,111,1.67,0,0.00,47.45
Montevidéu,Montevidéu,Uruguai,Montevideo,Uruguay,Montevideo,Uruguay,Montevideo,Uruguay,,,🇺🇾,745,57.98,540,42.02,1285,1400,0,0,42,3.00,73,5.21,0,0.00,42.02
Montreal,Montreal,Canadá,Montreal,Canada,Montreal,Canadá,Montréal,Canada,,,🇨🇦,3871,68.98,1741,31.02,5612,5896,0,0,182,3.09,102,1.73,0,0.00,31.02
Moscou,Moscou,Rússia,Moscow,Russia,Moscú,Rusia,Москва,Россия,,,🇷🇺,46,66.67,23,33.33,69,70,0,0,1,1.43,0,0.00,0,0.00,33.33
Mumbai,Mumbai,Índia,Mumbai,India,Mumbai,India,मुंबई,भारत,,,🇮🇳,11,73.33,4,26.67,15,15,0,0,0,0.00,0,0.00,0,0.00,26.67
Munique,Munique,Alemanha,Munich,Germany,Múnich,Alemania,München,Deutschland,,,🇩🇪,3534,69.39,1559,30.61,5093,5290,0,0,112,2.12,85,1.60,0,0.00,30.61
Nagóia,Nagóia,Japâo,Nagoya,Japan,Nagoya,Japón,玻古屋,日本,,,🇯🇵,2117,14.28,12704,85.72,14821,15808,0,0,423,2.68,564,3.56,0,0.00,85.72
Nairóbi,Nairóbi,Quénia,Nairobi,Kenya,Nairobi,Kenia,Nairobi,Kenya,,,🇰🇪,35,58.33,25,41.67,60,60,0,0,0,0.00,0,0.00,0,0.00,41.67
Nassau,Nassau,Bahamas,Nassau,Bahamas,Nasáu,Bahamas,Nassau,Bahamas,,,🇧🇸,9,39.13,14,60.87,23,25,0,0,2,8.00,0,0.00,0,0.00,60.87
Nicosia,Nicósia,Chipre,Nicosia,Cyprus,Nicosia,Chipre,Λευκωσία,Κύπρος,Lefkoşa,Kıbrıs,🇨🇾,15,62.50,9,37.50,24,29,0,0,4,13.79,1,3.45,0,0.00,37.50
Nova Delhi,Nova Delhi,India,New Delhi,India,Nueva Delhi,India,नई दिल्ली,भारत,ਨਵੀਂ ਦਿੱਲੀ,ਭਾਰਤ,🇮🇳,23,62.16,14,37.84,37,39,0,0,1,2.56,1,2.57,0,0.00,37.84
Nova York,Nova York,Estados Unidos,New York,United States,Nueva York,Estados Unidos,New York,United States,,,🇺🇸,5331,46.77,6068,53.23,11399,11793,0,0,203,1.72,191,1.62,0,0.00,53.23
Oslo,Oslo,Noruega,Oslo,Norway,Oslo,Noruega,Oslo,Norge,,,🇳🇴,628,76.12,197,23.88,825,862,0,0,21,2.44,16,1.85,0,0.00,23.88
Ottawa,Ottawa,Canadá,Ottawa,Canada,Ottawa,Canadá,Ottawa,Canada,,,🇨🇦,680,64.09,381,35.91,1061,1153,0,0,46,3.99,46,3.99,0,0.00,35.91
Panama,Panamá,Panamá,Panama,Panama,Panamá,Panamá,Panamá,Panamá,,,🇵🇦,252,39.13,392,60.87,644,674,0,0,15,2.23,15,2.22,0,0.00,60.87
Paramaribo,Paramaribo,Suriname,Paramaribo,Suriname,Paramaribo,Surinam,Paramaribo,Suriname,,,🇸🇷,131,27.01,354,72.99,485,502,0,0,10,1.99,7,1.40,0,0.00,72.99
Paris,Paris,França,Paris,France,París,Francia,Paris,France,,,🇫🇷,7885,82.94,1622,17.06,9507,9696,0,0,99,1.02,90,0.93,0,0.00,17.06
Paso Los Libres,Paso de los Libres,Argentina,Paso de los Libres,Argentina,Paso de los Libres,Argentina,Paso de los Libres,Argentina,,,🇦🇷,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Pedro Juan Caballero,Pedro Juan Caballero,Paraguai,Pedro Juan Caballero,Paraguay,Pedro Juan Caballero,Paraguay,Pedro Juan Caballero,Paraguay,,,🇵🇾,98,27.37,260,72.63,358,377,0,0,8,2.12,11,2.92,0,0.00,72.63
Pequim,Pequim,China,Beijing,China,Pekín,China,北京,中国,北京,中國,🇨🇳,47,67.14,23,32.86,70,75,0,0,3,4.00,2,2.67,0,0.00,32.86
Port Of Spain,Porto da Espanha,Trindade e Tobago,Port Of Spain,Trinidad and Tobago,Puerto España,Trinidad y Tobago,Port Of Spain,Trinidad and Tobago,,,🇹🇹,16,51.61,15,48.39,31,32,0,0,0,0.00,1,3.12,0,0.00,48.39
Porto,Porto,Portugal,Porto,Portugal,Oporto,Portugal,Porto,Portugal,,,🇵🇹,9450,64.80,5134,35.20,14584,15124,0,0,239,1.58,301,1.99,0,0.00,35.20
Porto Príncipe,Porto Príncipe,Haiti,Port-au-Prince,Haiti,Puerto Príncipe,Haití,Port-au-Prince,Haïti,Pòtoprens,Ayiti,🇭🇹,2,40.00,3,60.00,5,5,0,0,0,0.00,0,0.00,0,0.00,60.00
Praga,Praga,República Tcheca,Prague,Czech Republic,Praga,República_Checa,Praha,Česko,,,🇨🇿,286,79.67,73,20.33,359,388,0,0,17,4.38,12,3.09,0,0.00,20.33
Praia,Praia,Cabo Verde,Praia,Cape Verde,Praia,Cabo Verde,Praia,Cabo Verde,,,🇨🇦,40,64.52,22,35.48,62,67,0,0,1,1.49,4,5.97,0,0.00,35.48
Pretória,Pretória,Africa do Sul,Pretoria,South Africa,Pretoria,Sudáfrica,Pretoria,Suid-Afrika,Pretoria,Afrika Borwa,🇿🇦,83,28.62,207,71.38,290,304,0,0,4,1.32,10,3.29,0,0.00,71.38
Puerto Iguazú,Puerto Iguazú,Argentina,Puerto Iguazú,Argentina,Puerto Iguazú,Argentina,Puerto Iguazú,Argentina,,,🇦🇷,5,100.00,0,0.00,5,5,0,0,0,0.00,0,0.00,0,0.00,0.00
Puerto Quijarro,Puerto Quijarro,Bolívia,Puerto Quijarro,Bolivia,Puerto Quijarro,Bolivia,Puerto Quijarro,Bolivia,,,🇧🇴,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Quito,Quito,Equador,Quito,Ecuador,Quito,Ecuador,Quito,Ecuador,,,🇪🇨,115,31.08,255,68.92,370,393,0,0,13,3.31,10,2.54,0,0.00,68.92
Rabat,Rabat,Marrocos,Rabat,Morocco,Rabat,Marruecos,الرباط,المغرب,Rabat,Maroc,🇲🇦,38,82.61,8,17.39,46,46,0,0,0,0.00,0,0.00,0,0.00,17.39
Ramallah,Ramala,Palestina,Ramallah,Palestine,Ramala,Palestina,رام الله,دولة فلسطين,,,🇵🇸,584,90.54,61,9.46,645,676,0,0,22,3.25,9,1.34,0,0.00,9.46
Riade,Riade,Arábia Saudita,Riyadh,Saudi Arabia,Riad,Arabia Saudita,الرياض‎,السعودية,,,🇸🇦,38,67.86,18,32.14,56,58,0,0,2,3.45,0,0.00,0,0.00,32.14
Rio Branco,Río Branco,Uruguai,Río Branco,Uruguay,Río Branco,Uruguay,Río Branco,Uruguay,,,🇺🇾,13,59.09,9,40.91,22,25,0,0,2,8.00,1,4.00,0,0.00,40.91
Rivera,Rivera,Uruguai,Rivera,Uruguay,Rivera,Uruguay,Rivera,Uruguay,,,🇺🇾,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00
Roma,Roma,Itália,Rome,Italy,Roma,Italia,Roma,Italia,,,🇮🇹,2449,59.78,1648,40.22,4097,4278,0,0,81,1.89,100,2.34,0,0.00,40.22
