cidade,municipo,zona,secao,polling_place,lula_voto,lula_pct,bolsonaro_voto,bolsonaro_pct,eligible_voters,attending_voters,noshow_voters,turnout_pct,valid_votes,valid_pct,votos_legenda,blank_votes,null_votes,votes_counted,machine_type,flag,dia,country_pt,country_en,venue,local_pt,local_en,city_pt,city_en
Abidjã,29254,0001,0001,,26,0.6341463414634146,15,0.36585365853658536,77,43,34,0.5584415584415584,41,0.9534883720930233,0,2,0,43,Sistema de Apuração (Votação totalmente manual - Cédulas),🇨🇮,Manual,Costa do Marfin,Côte d'Ivoire,1015-EMBAIXADA DO BRASIL EM ABIDJÃ,Abidjã,Abidjan,Abidjã,Abidjan
Abu Dhabi,29262,0001,1977,1015,78,0.4,117,0.6,409,201,208,0.49144254278728605,195,0.9701492537313433,0,2,4,201,Urna eletrônica,🇦🇪,1,Emirados Árabes Unidos,United Arab Emirates,EMBAIXADA DO BRASIL EM ABU DHABI,Abu Dhabi,Abu Dhabi,Abu Dhabi,Abu Dhabi
